Analyte (CAS No.),CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Resident Air
(ug/m3)",key,"Industrial Air
(ug/m3)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)","Risk-based
SSL
(mg/kg)",key,"MCL-based
SSL
(mg/kg)",Analyte
Boron And Borates Only (7440-42-8),7440-42-8,16000,n,230000,nm,21,n,88,n,4000,n,,13,n,,Boron And Borates Only
Boron Trichloride (10294-34-5),10294-34-5,160000,nm,2300000,nm,21,n,88,n,42,n,,        ,n,,Boron Trichloride
Boron Trifluoride (7637-07-2),7637-07-2,3100,n,47000,n,14,n,57,n,26,n,,        ,n,,Boron Trifluoride
Bromate (15541-45-4),15541-45-4,0.99,c,4.7,c,        ,,        ,,0.11,c,10,0.00085,c,0.077,Bromate
"Bromo-2-chloroethane, 1- (107-04-0)",107-04-0,0.026,c,0.11,c,0.0047,c,0.02,c,0.0074,c,,2.1E-06,c,,"Bromo-2-chloroethane, 1-"
"Bromo-3-fluorobenzene, 1- (1073-06-9)",1073-06-9,23,n,350,n,        ,,        ,,4.9,n,,0.0047,n,,"Bromo-3-fluorobenzene, 1-"
"Bromo-4-fluorobenzene, 1- (460-00-4)",460-00-4,23,n,350,ns,        ,,        ,,4.6,n,,0.0044,n,,"Bromo-4-fluorobenzene, 1-"
Bromobenzene (108-86-1),108-86-1,290,n,1800,ns,63,n,260,n,62,n,,0.042,n,,Bromobenzene
Bromochloromethane (74-97-5),74-97-5,150,n,630,n,42,n,180,n,83,n,,0.021,n,,Bromochloromethane
Bromodichloromethane (75-27-4),75-27-4,0.29,c,1.3,c,0.076,c,0.33,c,0.13,c,8.0E+01(F),3.6E-05,c,0.022,Bromodichloromethane
Bromoform (75-25-2),75-25-2,19,c*,86,c,2.6,c,11,c,3.3,c,8.0E+01(F),0.00087,c,0.021,Bromoform
Bromomethane (74-83-9),74-83-9,6.8,n,30,n,5.2,n,22,n,7.5,n,,0.0019,n,,Bromomethane
Bromophos (2104-96-3),2104-96-3,390,n,5800,n,        ,,        ,,35,n,,0.15,n,,Bromophos
"Bromopropane, 1- (106-94-5)",106-94-5,220,n,940,n,100,n,440,n,210,n,,0.064,n,,"Bromopropane, 1-"
Bromoxynil (1689-84-5),1689-84-5,5.3,c,22,c,        ,,        ,,0.61,c,,0.00052,c,,Bromoxynil
Bromoxynil Octanoate (1689-99-2),1689-99-2,6.7,c,32,c,        ,,        ,,0.24,c,,0.0021,c,,Bromoxynil Octanoate
"Butadiene, 1,3- (106-99-0)",106-99-0,0.058,c*,0.26,c*,0.094,c*,0.41,c*,0.018,c,,9.9E-06,c,,"Butadiene, 1,3-"
"Butanoic acid, 4-(2,4-dichlorophenoxy)- (94-82-6)",94-82-6,1900,n,25000,n,        ,,        ,,450,n,,0.42,n,,"Butanoic acid, 4-(2,4-dichlorophenoxy)-"
"Butanol, N- (71-36-3)",71-36-3,7800,ns,120000,nms,        ,,        ,,2000,n,,0.41,n,,"Butanol, N-"
"Butyl alcohol, sec- (78-92-2)",78-92-2,130000,nms,1500000,nms,31000,n,130000,n,24000,n,,5,n,,"Butyl alcohol, sec-"
Butylate (2008-41-5),2008-41-5,3900,n,58000,n,        ,,        ,,460,n,,0.45,n,,Butylate
Butylated hydroxyanisole (25013-16-5),25013-16-5,2700,c,11000,c,49,c,220,c,150,c,,0.29,c,,Butylated hydroxyanisole
Butylated hydroxytoluene (128-37-0),128-37-0,150,c,640,c,        ,,        ,,3.4,c,,0.1,c,,Butylated hydroxytoluene
"Butylbenzene, n- (104-51-8)",104-51-8,3900,ns,58000,ns,        ,,        ,,1000,n,,3.2,n,,"Butylbenzene, n-"
"Butylbenzene, sec- (135-98-8)",135-98-8,7800,ns,120000,nms,        ,,        ,,2000,n,,5.9,n,,"Butylbenzene, sec-"
"Butylbenzene, tert- (98-06-6)",98-06-6,7800,ns,120000,nms,        ,,        ,,690,n,,1.6,n,,"Butylbenzene, tert-"
Cacodylic Acid (75-60-5),75-60-5,1300,n,16000,n,        ,,        ,,400,n,,0.11,n,,Cacodylic Acid
Cadmium (Diet) (7440-43-9),7440-43-9,71,n,980,n,        ,,        ,,        ,,,        ,,,Cadmium (Diet)
Cadmium (Water) (7440-43-9),7440-43-9,        ,,        ,,0.0016,c**,0.0068,c**,9.2,n,5,0.69,n,0.38,Cadmium (Water)
Caprolactam (105-60-2),105-60-2,31000,n,400000,nm,2.3,n,9.6,n,9900,n,,2.5,n,,Caprolactam
Captafol (2425-06-1),2425-06-1,3.6,c*,15,c,0.065,c,0.29,c,0.4,c*,,0.00071,c*,,Captafol
Captan (133-06-2),133-06-2,240,c*,1000,c,4.3,c,19,c,31,c*,,0.022,c*,,Captan
Carbaryl (63-25-2),63-25-2,6300,n,82000,n,        ,,        ,,1800,n,,1.7,n,,Carbaryl
Carbofuran (1563-66-2),1563-66-2,320,n,4100,n,        ,,        ,,94,n,40,0.037,n,0.016,Carbofuran
Carbon Disulfide (75-15-0),75-15-0,770,ns,3500,ns,730,n,3100,n,810,n,,0.24,n,,Carbon Disulfide
Carbon Tetrachloride (56-23-5),56-23-5,0.65,c,2.9,c,0.47,c,2,c,0.46,c,5,0.00018,c,0.0019,Carbon Tetrachloride
Carbonyl Sulfide (463-58-1),463-58-1,67,n,280,n,100,n,440,n,210,n,,0.51,n,,Carbonyl Sulfide
Carbosulfan (55285-14-8),55285-14-8,630,n,8200,n,        ,,        ,,51,n,,1.2,n,,Carbosulfan
Carboxin (5234-68-4),5234-68-4,6300,n,82000,n,        ,,        ,,1900,n,,1,n,,Carboxin
Ceric oxide (1306-38-3),1306-38-3,1300000,nm,5400000,nm,0.94,n,3.9,n,        ,,,        ,,,Ceric oxide
Chloral Hydrate (302-17-0),302-17-0,7800,n,120000,nm,        ,,        ,,2000,n,,0.4,n,,Chloral Hydrate
Chloramben (133-90-4),133-90-4,950,n,12000,n,        ,,        ,,290,n,,0.07,n,,Chloramben
Chloranil (118-75-2),118-75-2,1.3,c,5.7,c,        ,,        ,,0.18,c,,0.00015,c,,Chloranil
Chlordane (12789-03-6),12789-03-6,1.7,c*,7.7,c*,0.028,c*,0.12,c*,0.02,c*,2,0.0027,c*,0.27,Chlordane
Chlordecone (Kepone) (143-50-0),143-50-0,0.054,c,0.23,c,0.00061,c,0.0027,c,0.0035,c,,0.00012,c,,Chlordecone (Kepone)
Chlorfenvinphos (470-90-6),470-90-6,44,n,570,n,        ,,        ,,11,n,,0.031,n,,Chlorfenvinphos
"Chlorimuron, Ethyl- (90982-32-4)",90982-32-4,5700,n,74000,n,        ,,        ,,1800,n,,0.6,n,,"Chlorimuron, Ethyl-"
Chlorine (7782-50-5),7782-50-5,0.18,n,0.78,n,0.15,n,0.64,n,0.3,n,,0.00014,n,,Chlorine
Chlorine Dioxide (10049-04-4),10049-04-4,2300,n,34000,n,0.21,n,0.88,n,0.42,n,,        ,n,,Chlorine Dioxide
Chlorite (Sodium Salt) (7758-19-2),7758-19-2,2300,n,35000,n,        ,,        ,,600,n,1000,        ,n,,Chlorite (Sodium Salt)
"Chloro-1,1-difluoroethane, 1- (75-68-3)",75-68-3,54000,ns,230000,nms,52000,n,220000,n,100000,n,,52,n,,"Chloro-1,1-difluoroethane, 1-"
"Chloro-1,3-butadiene, 2- (126-99-8)",126-99-8,0.01,c,0.044,c,0.0094,c,0.041,c,0.019,c,,9.8E-06,c,,"Chloro-1,3-butadiene, 2-"
"Chloro-2-methylaniline HCl, 4- (3165-93-3)",3165-93-3,1.2,c,5,c,        ,,        ,,0.17,c,,0.00015,c,,"Chloro-2-methylaniline HCl, 4-"
"Chloro-2-methylaniline, 4- (95-69-2)",95-69-2,5.4,c*,23,c,0.036,c,0.16,c,0.7,c*,,0.0004,c*,,"Chloro-2-methylaniline, 4-"
"Chloroacetaldehyde, 2- (107-20-0)",107-20-0,2.6,c,12,c,        ,,        ,,0.29,c,,5.8E-05,c,,"Chloroacetaldehyde, 2-"
Chloroacetic Acid (79-11-8),79-11-8,        ,,        ,,        ,,        ,,        ,,60,        ,,0.012,Chloroacetic Acid
"Chloroacetophenone, 2- (532-27-4)",532-27-4,43000,n,180000,nm,0.031,n,0.13,n,        ,,,        ,,,"Chloroacetophenone, 2-"
"Chloroaniline, p- (106-47-8)",106-47-8,2.7,c*,11,c,        ,,        ,,0.37,c,,0.00016,c,,"Chloroaniline, p-"
Chlorobenzene (108-90-7),108-90-7,280,n,1300,ns,52,n,220,n,78,n,100,0.053,n,0.068,Chlorobenzene
"Chlorobenzene sulfonic acid, p- (98-66-8)",98-66-8,6300,n,82000,n,        ,,        ,,2000,n,,0.47,n,,"Chlorobenzene sulfonic acid, p-"
Chlorobenzilate (510-15-6),510-15-6,4.9,c,21,c,0.091,c,0.4,c,0.31,c,,0.001,c,,Chlorobenzilate
"Chlorobenzoic Acid, p- (74-11-3)",74-11-3,1900,n,25000,n,        ,,        ,,510,n,,0.13,n,,"Chlorobenzoic Acid, p-"
"Chlorobenzotrifluoride, 4- (98-56-6)",98-56-6,210,n,2500,ns,310,n,1300,n,35,n,,0.12,n,,"Chlorobenzotrifluoride, 4-"
"Chlorobutane, 1- (109-69-3)",109-69-3,3100,ns,47000,ns,        ,,        ,,640,n,,0.26,n,,"Chlorobutane, 1-"
Chlorodifluoromethane (75-45-6),75-45-6,49000,ns,210000,nms,52000,n,220000,n,100000,n,,43,n,,Chlorodifluoromethane
"Chloroethanol, 2- (107-07-3)",107-07-3,1600,n,23000,n,        ,,        ,,400,n,,0.081,n,,"Chloroethanol, 2-"
Chloroform (67-66-3),67-66-3,0.32,c,1.4,c,0.12,c,0.53,c,0.22,c,8.0E+01(F),6.1E-05,c,0.022,Chloroform
Chloromethane (74-87-3),74-87-3,110,n,460,n,94,n,390,n,190,n,,0.049,n,,Chloromethane
Chloromethyl Methyl Ether (107-30-2),107-30-2,0.02,c,0.089,c,0.0041,c,0.018,c,0.0065,c,,1.4E-06,c,,Chloromethyl Methyl Ether
"Chloronitrobenzene, o- (88-73-3)",88-73-3,1.8,c,7.7,c,0.01,n,0.044,n,0.24,c,,0.00022,c,,"Chloronitrobenzene, o-"
"Chloronitrobenzene, p- (100-00-5)",100-00-5,9,c**,38,c*,2.1,n,8.8,n,1.2,c*,,0.0011,c*,,"Chloronitrobenzene, p-"
"Chlorophenol, 2- (95-57-8)",95-57-8,390,n,5800,n,        ,,        ,,91,n,,0.089,n,,"Chlorophenol, 2-"
Chloropicrin (76-06-2),76-06-2,2,n,8.2,n,0.42,n,1.8,n,0.83,n,,0.00025,n,,Chloropicrin
Chlorothalonil (1897-45-6),1897-45-6,180,c**,740,c*,3.2,c,14,c,22,c*,,0.05,c*,,Chlorothalonil
"Chlorotoluene, o- (95-49-8)",95-49-8,1600,ns,23000,ns,        ,,        ,,240,n,,0.23,n,,"Chlorotoluene, o-"
"Chlorotoluene, p- (106-43-4)",106-43-4,1600,ns,23000,ns,        ,,        ,,250,n,,0.24,n,,"Chlorotoluene, p-"
Chlorozotocin (54749-90-5),54749-90-5,0.0023,c,0.0096,c,4.1E-05,c,0.00018,c,0.00032,c,,7.1E-08,c,,Chlorozotocin
Chlorpropham (101-21-3),101-21-3,3200,n,41000,n,        ,,        ,,710,n,,0.64,n,,Chlorpropham
Chlorpyrifos (2921-88-2),2921-88-2,63,n,820,n,        ,,        ,,8.4,n,,0.12,n,,Chlorpyrifos
Chlorpyrifos Methyl (5598-13-0),5598-13-0,630,n,8200,n,        ,,        ,,120,n,,0.54,n,,Chlorpyrifos Methyl
Chlorsulfuron (64902-72-3),64902-72-3,3200,n,41000,n,        ,,        ,,990,n,,0.83,n,,Chlorsulfuron
Chlorthal-dimethyl (1861-32-1),1861-32-1,630,n,8200,n,        ,,        ,,120,n,,0.15,n,,Chlorthal-dimethyl
Chlorthiophos (60238-56-4),60238-56-4,51,n,660,n,        ,,        ,,2.8,n,,0.073,n,,Chlorthiophos
"Chromium(III), Insoluble Salts (16065-83-1)",16065-83-1,120000,nm,1800000,nm,        ,,        ,,22000,n,,40000000,n,,"Chromium(III), Insoluble Salts"
Chromium(VI) (18540-29-9),18540-29-9,0.3,c,6.3,c,1.2E-05,c,0.00015,c,0.035,c,,0.00067,c,,Chromium(VI)
"Chromium, Total (7440-47-3)",7440-47-3,        ,,        ,,        ,,        ,,        ,,100,        ,,180000,"Chromium, Total"
Clofentezine (74115-24-5),74115-24-5,820,n,11000,n,        ,,        ,,230,n,,14,n,,Clofentezine
Cobalt (7440-48-4),7440-48-4,23,n,350,n,0.00031,c*,0.0014,c*,6,n,,0.27,n,,Cobalt
Coke Oven Emissions (8007-45-2),8007-45-2,        ,,        ,,0.0016,c,0.02,c,        ,,,        ,,,Coke Oven Emissions
Copper (7440-50-8),7440-50-8,3100,n,47000,n,        ,,        ,,800,n,1300,28,n,46,Copper
"Cresol, m- (108-39-4)",108-39-4,3200,n,41000,n,630,n,2600,n,930,n,,0.74,n,,"Cresol, m-"
"Cresol, o- (95-48-7)",95-48-7,3200,n,41000,n,630,n,2600,n,930,n,,0.75,n,,"Cresol, o-"
"Cresol, p- (106-44-5)",106-44-5,6300,n,82000,n,630,n,2600,n,1900,n,,1.5,n,,"Cresol, p-"
"Cresol, p-chloro-m- (59-50-7)",59-50-7,6300,n,82000,n,        ,,        ,,1400,n,,1.7,n,,"Cresol, p-chloro-m-"
Cresols (1319-77-3),1319-77-3,6300,n,82000,n,630,n,2600,n,1500,n,,1.3,n,,Cresols
"Crotonaldehyde, trans- (123-73-9)",123-73-9,0.37,c,1.7,c,        ,,        ,,0.04,c,,8.2E-06,c,,"Crotonaldehyde, trans-"
Cumene (98-82-8),98-82-8,1900,ns,9900,ns,420,n,1800,n,450,n,,0.74,n,,Cumene
Cupferron (135-20-6),135-20-6,2.5,c,10,c,0.045,c,0.19,c,0.35,c,,0.00061,c,,Cupferron
Cyanazine (21725-46-2),21725-46-2,0.65,c,2.7,c,        ,,        ,,0.088,c,,4.1E-05,c,,Cyanazine
Cyclohexane (110-82-7),110-82-7,6500,ns,27000,ns,6300,n,26000,n,13000,n,,13,n,,Cyclohexane
"Cyclohexane, 1,2,3,4,5-pentabromo-6-chloro- (87-84-3)",87-84-3,27,c*,110,c,        ,,        ,,2.8,c,,0.016,c,,"Cyclohexane, 1,2,3,4,5-pentabromo-6-chloro-"
Cyclohexanone (108-94-1),108-94-1,28000,ns,130000,nms,730,n,3100,n,1400,n,,0.34,n,,Cyclohexanone
Cyclohexene (110-83-8),110-83-8,310,ns,3100,ns,1000,n,4400,n,70,n,,0.046,n,,Cyclohexene
Cyclohexylamine (108-91-8),108-91-8,16000,n,230000,nm,        ,,        ,,3800,n,,1,n,,Cyclohexylamine
Cyfluthrin (68359-37-5),68359-37-5,1600,n,21000,n,        ,,        ,,120,n,,31,n,,Cyfluthrin
Cyhalothrin (68085-85-8),68085-85-8,63,n,820,n,        ,,        ,,20,n,,14,n,,Cyhalothrin
Cyromazine (66215-27-8),66215-27-8,32000,n,410000,nm,        ,,        ,,9900,n,,2.5,n,,Cyromazine
Dalapon (75-99-0),75-99-0,1900,n,25000,n,        ,,        ,,600,n,200,0.12,n,0.041,Dalapon
Daminozide (1596-84-5),1596-84-5,30,c,130,c,0.55,c,2.4,c,4.3,c,,0.00095,c,,Daminozide
"DDD, p,p'- (DDD) (72-54-8)",72-54-8,1.9,n,9.6,c**,0.041,c,0.18,c,0.032,c**,,0.0075,c**,,"DDD, p,p'- (DDD)"
"DDE, p,p'- (72-55-9)",72-55-9,2,c*,9.3,c*,0.029,c,0.13,c,0.046,c,,0.011,c,,"DDE, p,p'-"
DDT (50-29-3),50-29-3,1.9,c*,8.5,c*,0.029,c,0.13,c,0.23,c*,,0.077,c*,,DDT
"Decabromodiphenyl ether, 2,2',3,3',4,4',5,5',6,6'- (BDE-209) (1163-19-5)",1163-19-5,440,n,3300,c**,        ,,        ,,110,c**,,62,c**,,"Decabromodiphenyl ether, 2,2',3,3',4,4',5,5',6,6'- (BDE-209)"
Demeton (8065-48-3),8065-48-3,2.5,n,33,n,        ,,        ,,0.42,n,,        ,n,,Demeton
Di(2-ethylhexyl)adipate (103-23-1),103-23-1,450,c*,1900,c,        ,,        ,,65,c,400,4.7,c,29,Di(2-ethylhexyl)adipate
Diallate (2303-16-4),2303-16-4,8.9,c,38,c,        ,,        ,,0.54,c,,0.0008,c,,Diallate
Diazinon (333-41-5),333-41-5,44,n,570,n,        ,,        ,,10,n,,0.065,n,,Diazinon
Dibenzothiophene (132-65-0),132-65-0,780,n,12000,n,        ,,        ,,65,n,,1.2,n,,Dibenzothiophene
"Dibromo-3-chloropropane, 1,2- (96-12-8)",96-12-8,0.0053,c,0.064,c,0.00017,c,0.002,c,0.00033,c,0.2,1.4E-07,c,8.6E-05,"Dibromo-3-chloropropane, 1,2-"
"Dibromobenzene, 1,3- (108-36-1)",108-36-1,31,n,470,ns,        ,,        ,,5.3,n,,0.0051,n,,"Dibromobenzene, 1,3-"
"Dibromobenzene, 1,4- (106-37-6)",106-37-6,780,n,12000,n,        ,,        ,,130,n,,0.12,n,,"Dibromobenzene, 1,4-"
Dibromochloromethane (124-48-1),124-48-1,8.3,c,39,c,        ,,        ,,0.87,c,8.0E+01(F),0.00023,c,0.021,Dibromochloromethane
"Dibromoethane, 1,2- (106-93-4)",106-93-4,0.036,c,0.16,c,0.0047,c,0.02,c,0.0075,c,0.05,2.1E-06,c,1.4E-05,"Dibromoethane, 1,2-"
Dibromomethane (Methylene Bromide) (74-95-3),74-95-3,24,n,99,n,4.2,n,18,n,8.3,n,,0.0021,n,,Dibromomethane (Methylene Bromide)
Dibutyltin Compounds (E1790660),E1790660,19,n,250,n,        ,,        ,,6,n,,        ,n,,Dibutyltin Compounds
Dicamba (1918-00-9),1918-00-9,1900,n,25000,n,        ,,        ,,570,n,,0.15,n,,Dicamba
"Dichloro-2-butene, 1,4- (764-41-0)",764-41-0,0.0021,c,0.0094,c,0.00067,c,0.0029,c,0.0013,c,,6.6E-07,c,,"Dichloro-2-butene, 1,4-"
"Dichloro-2-butene, cis-1,4- (1476-11-5)",1476-11-5,0.0074,c,0.032,c,0.00067,c,0.0029,c,0.0013,c,,6.2E-07,c,,"Dichloro-2-butene, cis-1,4-"
"Dichloro-2-butene, trans-1,4- (110-57-6)",110-57-6,0.0074,c,0.032,c,0.00067,c,0.0029,c,0.0013,c,,6.2E-07,c,,"Dichloro-2-butene, trans-1,4-"
Dichloroacetic Acid (79-43-6),79-43-6,11,c*,46,c*,        ,,        ,,1.5,c*,60,0.00031,c*,0.012,Dichloroacetic Acid
"Dichlorobenzene, 1,2- (95-50-1)",95-50-1,1800,ns,9300,ns,210,n,880,n,300,n,600,0.3,n,0.58,"Dichlorobenzene, 1,2-"
"Dichlorobenzene, 1,4- (106-46-7)",106-46-7,2.6,c,11,c,0.26,c,1.1,c,0.48,c,75,0.00046,c,0.072,"Dichlorobenzene, 1,4-"
"Dichlorobenzidine, 3,3'- (91-94-1)",91-94-1,1.2,c,5.1,c,0.0083,c,0.036,c,0.13,c,,0.00082,c,,"Dichlorobenzidine, 3,3'-"
"Dichlorobenzophenone, 4,4'- (90-98-2)",90-98-2,570,n,7400,n,        ,,        ,,78,n,,0.47,n,,"Dichlorobenzophenone, 4,4'-"
Dichlorodifluoromethane (75-71-8),75-71-8,87,n,370,n,100,n,440,n,200,n,,0.3,n,,Dichlorodifluoromethane
"Dichloroethane, 1,1- (75-34-3)",75-34-3,3.6,c,16,c,1.8,c,7.7,c,2.8,c,,0.00078,c,,"Dichloroethane, 1,1-"
"Dichloroethane, 1,2- (107-06-2)",107-06-2,0.46,c*,2,c*,0.11,c*,0.47,c*,0.17,c*,5,4.8E-05,c*,0.0014,"Dichloroethane, 1,2-"
"Dichloroethylene, 1,1- (75-35-4)",75-35-4,230,n,1000,n,210,n,880,n,280,n,7,0.1,n,0.0025,"Dichloroethylene, 1,1-"
"Dichloroethylene, 1,2-cis- (156-59-2)",156-59-2,160,n,2300,n,        ,,        ,,36,n,70,0.011,n,0.021,"Dichloroethylene, 1,2-cis-"
"Dichloroethylene, 1,2-trans- (156-60-5)",156-60-5,1600,n,23000,ns,        ,,        ,,360,n,100,0.11,n,0.031,"Dichloroethylene, 1,2-trans-"
"Dichlorophenol, 2,4- (120-83-2)",120-83-2,190,n,2500,n,        ,,        ,,46,n,,0.023,n,,"Dichlorophenol, 2,4-"
"Dichlorophenoxy Acetic Acid, 2,4- (94-75-7)",94-75-7,700,n,9600,n,        ,,        ,,170,n,70,0.045,n,0.018,"Dichlorophenoxy Acetic Acid, 2,4-"
"Dichloropropane, 1,2- (78-87-5)",78-87-5,2.5,c**,11,c**,0.76,c**,3.3,c**,0.85,c**,5,0.00028,c**,0.0017,"Dichloropropane, 1,2-"
"Dichloropropane, 1,3- (142-28-9)",142-28-9,1600,ns,23000,ns,        ,,        ,,370,n,,0.13,n,,"Dichloropropane, 1,3-"
"Dichloropropanol, 2,3- (616-23-9)",616-23-9,190,n,2500,n,        ,,        ,,59,n,,0.013,n,,"Dichloropropanol, 2,3-"
"Dichloropropene, 1,3- (542-75-6)",542-75-6,1.8,c*,8.2,c*,0.7,c*,3.1,c*,0.47,c*,,0.00017,c*,,"Dichloropropene, 1,3-"
Dichlorvos (62-73-7),62-73-7,1.9,c*,7.9,c*,0.034,c*,0.15,c*,0.26,c*,,8.1E-05,c*,,Dichlorvos
Dicrotophos (141-66-2),141-66-2,1.9,n,25,n,        ,,        ,,0.6,n,,0.00014,n,,Dicrotophos
Dicyclopentadiene (77-73-6),77-73-6,1.3,n,5.4,n,0.31,n,1.3,n,0.63,n,,0.0022,n,,Dicyclopentadiene
Dieldrin (60-57-1),60-57-1,0.034,c*,0.14,c,0.00061,c,0.0027,c,0.0018,c,,7.1E-05,c,,Dieldrin
Diesel Engine Exhaust (E17136615),E17136615,        ,,        ,,0.0094,c,0.041,c,        ,,,        ,,,Diesel Engine Exhaust
Diethanolamine (111-42-2),111-42-2,130,n,1600,n,0.21,n,0.88,n,40,n,,0.0081,n,,Diethanolamine
Diethylene Glycol Monobutyl Ether (112-34-5),112-34-5,1900,n,24000,n,0.1,n,0.44,n,600,n,,0.13,n,,Diethylene Glycol Monobutyl Ether
Diethylene Glycol Monoethyl Ether (111-90-0),111-90-0,3800,n,48000,n,0.31,n,1.3,n,1200,n,,0.24,n,,Diethylene Glycol Monoethyl Ether
Diethylformamide (617-84-5),617-84-5,78,n,1200,n,        ,,        ,,20,n,,0.0041,n,,Diethylformamide
Diethylstilbestrol (56-53-1),56-53-1,0.0016,c,0.0066,c,2.8E-05,c,0.00012,c,5.1E-05,c,,2.8E-05,c,,Diethylstilbestrol
Difenzoquat (43222-48-6),43222-48-6,5200,n,68000,n,        ,,        ,,1700,n,,260,n,,Difenzoquat
Diflubenzuron (35367-38-5),35367-38-5,1300,n,16000,n,        ,,        ,,290,n,,0.33,n,,Diflubenzuron
"Difluoroethane, 1,1- (75-37-6)",75-37-6,48000,ns,200000,nms,42000,n,180000,n,83000,n,,28,n,,"Difluoroethane, 1,1-"
"Difluoropropane, 2,2- (420-45-1)",420-45-1,24000,ns,100000,ns,31000,n,130000,n,63000,n,,140,n,,"Difluoropropane, 2,2-"
Dihydrosafrole (94-58-6),94-58-6,9.9,c,45,c,0.22,c,0.94,c,0.3,c,,0.00019,c,,Dihydrosafrole
Diisopropyl Ether (108-20-3),108-20-3,2200,n,9400,ns,730,n,3100,n,1500,n,,0.37,n,,Diisopropyl Ether
Diisopropyl Methylphosphonate (1445-75-6),1445-75-6,6300,ns,93000,ns,        ,,        ,,1600,n,,0.45,n,,Diisopropyl Methylphosphonate
Dimethipin (55290-64-7),55290-64-7,1400,n,18000,n,        ,,        ,,440,n,,0.096,n,,Dimethipin
Dimethoate (60-51-5),60-51-5,140,n,1800,n,        ,,        ,,44,n,,0.0099,n,,Dimethoate
"Dimethoxybenzidine, 3,3'- (119-90-4)",119-90-4,0.34,c,1.4,c,        ,,        ,,0.047,c,,5.8E-05,c,,"Dimethoxybenzidine, 3,3'-"
Dimethyl methylphosphonate (756-79-6),756-79-6,320,c*,1400,c*,        ,,        ,,46,c*,,0.0096,c*,,Dimethyl methylphosphonate
Dimethylamino azobenzene [p-] (60-11-7),60-11-7,0.12,c,0.5,c,0.0022,c,0.0094,c,0.005,c,,2.1E-05,c,,Dimethylamino azobenzene [p-]
"Dimethylaniline HCl, 2,4- (21436-96-4)",21436-96-4,0.94,c,4,c,        ,,        ,,0.13,c,,0.00012,c,,"Dimethylaniline HCl, 2,4-"
"Dimethylaniline, 2,4- (95-68-1)",95-68-1,2.7,c*,11,c,        ,,        ,,0.37,c,,0.00021,c,,"Dimethylaniline, 2,4-"
"Dimethylaniline, N,N- (121-69-7)",121-69-7,26,c**,120,c*,        ,,        ,,2.5,c*,,0.0009,c*,,"Dimethylaniline, N,N-"
"Dimethylbenzidine, 3,3'- (119-93-7)",119-93-7,0.049,c,0.21,c,        ,,        ,,0.0065,c,,4.3E-05,c,,"Dimethylbenzidine, 3,3'-"
Dimethylformamide (68-12-2),68-12-2,2600,n,15000,n,31,n,130,n,61,n,,0.012,n,,Dimethylformamide
"Dimethylhydrazine, 1,1- (57-14-7)",57-14-7,0.057,n,0.24,n,0.0021,n,0.0088,n,0.0042,n,,9.3E-07,n,,"Dimethylhydrazine, 1,1-"
"Dimethylhydrazine, 1,2- (540-73-8)",540-73-8,0.00088,c,0.0041,c,1.8E-05,c,7.7E-05,c,2.8E-05,c,,6.5E-09,c,,"Dimethylhydrazine, 1,2-"
"Dimethylphenol, 2,4- (105-67-9)",105-67-9,1300,n,16000,n,        ,,        ,,360,n,,0.42,n,,"Dimethylphenol, 2,4-"
"Dimethylphenol, 2,6- (576-26-1)",576-26-1,38,n,490,n,        ,,        ,,11,n,,0.013,n,,"Dimethylphenol, 2,6-"
"Dimethylphenol, 3,4- (95-65-8)",95-65-8,63,n,820,n,        ,,        ,,18,n,,0.021,n,,"Dimethylphenol, 3,4-"
Dimethylvinylchloride (513-37-1),513-37-1,1.1,c,4.8,c,0.22,c,0.94,c,0.33,c,,0.00011,c,,Dimethylvinylchloride
"Dinitrobenzene, 1,2- (528-29-0)",528-29-0,6.3,n,82,n,        ,,        ,,1.9,n,,0.0018,n,,"Dinitrobenzene, 1,2-"
"Dinitrobenzene, 1,3- (99-65-0)",99-65-0,6.3,n,82,n,        ,,        ,,2,n,,0.0018,n,,"Dinitrobenzene, 1,3-"
"Dinitrobenzene, 1,4- (100-25-4)",100-25-4,6.3,n,82,n,        ,,        ,,2,n,,0.0018,n,,"Dinitrobenzene, 1,4-"
"Dinitro-o-cresol, 4,6- (534-52-1)",534-52-1,5.1,n,66,n,        ,,        ,,1.5,n,,0.0026,n,,"Dinitro-o-cresol, 4,6-"
"Dinitro-o-cyclohexyl Phenol, 4,6- (131-89-5)",131-89-5,130,n,1600,n,        ,,        ,,23,n,,0.77,n,,"Dinitro-o-cyclohexyl Phenol, 4,6-"
"Dinitrophenol, 2,4- (51-28-5)",51-28-5,130,n,1600,n,        ,,        ,,39,n,,0.044,n,,"Dinitrophenol, 2,4-"
"Dinitrotoluene Mixture, 2,4/2,6- (E1615210)",E1615210,0.8,c,3.4,c,        ,,        ,,0.11,c,,0.00015,c,,"Dinitrotoluene Mixture, 2,4/2,6-"
"Dinitrotoluene, 2,4- (121-14-2)",121-14-2,1.7,c*,7.4,c,0.032,c,0.14,c,0.24,c,,0.00032,c,,"Dinitrotoluene, 2,4-"
"Dinitrotoluene, 2,6- (606-20-2)",606-20-2,0.36,c*,1.5,c,        ,,        ,,0.049,c,,6.7E-05,c,,"Dinitrotoluene, 2,6-"
